Lines,Lon,VehicleNumber,Time,Lat
225,21.115596,1000,2024-02-13 18:12:18,52.234521
213,21.1155551,1001,2024-02-13 19:28:51,52.2140845
225,21.1156568,1002,2024-02-13 18:43:11,52.2345381
213,21.1422868,1003,2024-02-13 19:28:50,52.2141701
213,21.2049778,1004,2024-02-13 19:28:53,52.1596848
213,21.219661,1005,2024-02-13 19:28:36,52.163993
219,21.165408,1006,2024-02-13 19:28:51,52.204986
225,21.1141686,1007,2024-02-13 15:10:57,52.2346921
L-8,21.0400515,10071,2024-02-13 19:28:54,52.377699
L31,21.1807401,10072,2024-02-13 19:28:55,52.41782
L49,20.926032,10073,2024-02-13 19:28:54,52.3750436
L24,21.0223706,10074,2024-02-13 19:28:52,52.068259
L-8,21.0804684,10075,2024-02-13 19:24:19,52.429149
213,21.102578,1008,2024-02-13 19:28:40,52.222693
311,21.0840971,1009,2024-02-13 19:28:53,52.2273318
119,21.116405,1010,2024-02-13 13:33:38,52.235039
213,21.115073,1011,2024-02-13 13:53:42,52.234709
219,21.1657966,1012,2024-02-13 19:28:50,52.1846283
225,21.115611,1013,2024-02-13 17:39:03,52.234524
219,21.102378,1014,2024-02-13 19:28:57,52.2227755
163,20.995926,1020,2024-02-13 19:24:23,52.188526
263,21.094223,1021,2024-02-13 19:28:55,52.16106
339,20.996186,1022,2024-02-13 19:28:45,52.184269
239,21.015577,1023,2024-02-13 19:28:53,52.150276
192,21.017551,1024,2024-02-13 19:28:54,52.161472
108,21.046112,1025,2024-02-13 19:28:50,52.17749
108,21.0222504,1026,2024-02-13 19:28:55,52.2297479
208,20.9755296,1027,2024-02-13 19:28:55,52.2103659
108,21.024689,1028,2024-02-13 19:28:51,52.186127
108,21.06407,1029,2024-02-13 19:28:54,52.186546
163,20.995796,1030,2024-02-13 19:19:52,52.188503
339,21.0682289,1031,2024-02-13 19:28:55,52.1294679
339,20.995953,1032,2024-02-12 06:33:42,52.187172
192,20.9960782,1034,2024-02-13 19:28:52,52.1880516
208,20.975576,1035,2024-02-13 19:28:53,52.210419
200,21.015026,1036,2024-02-13 19:28:47,52.218326
339,20.997919,1037,2024-02-13 19:28:50,52.186371
163,21.0326584,1038,2024-02-13 19:28:54,52.1775261
200,20.995634,1039,2024-02-13 19:09:41,52.188541
204,21.045345,1040,2024-02-13 18:16:44,52.264453
107,21.048159,1041,2024-02-13 19:28:53,52.207129
204,21.044619,1042,2024-02-13 19:18:36,52.264863
107,21.0851917,1043,2024-02-13 19:28:53,52.1934617
107,21.04818,1044,2024-02-13 19:28:45,52.195295
107,20.9794117,1045,2024-02-13 19:28:51,52.2445083
204,21.0310383,1046,2024-02-13 19:28:47,52.2935383
204,21.045621,1048,2024-02-13 18:59:06,52.264361
204,21.029976,1049,2024-02-13 19:28:54,52.308226
208,20.9639,1050,2024-02-13 19:28:42,52.2079467
208,20.949531,1051,2024-02-13 19:28:42,52.202791
228,20.921326,1053,2024-02-13 16:34:58,52.197151
228,20.893145,1054,2024-02-13 19:28:35,52.200364
228,20.95636,1055,2024-02-13 19:28:49,52.19861
207,20.918528,1056,2024-02-13 08:52:19,52.196728
207,20.919635,1058,2024-02-13 07:31:20,52.1969033
228,20.9370817,1059,2024-02-13 19:28:45,52.2015833
208,20.963688,1060,2024-02-13 19:28:54,52.207981
108,21.043297,1061,2024-02-13 19:28:52,52.175358
164,21.137207,1062,2024-02-13 19:28:54,52.146729
192,21.054945,1063,2024-02-13 19:28:52,52.147102
208,20.9950506,1064,2024-02-13 19:18:54,52.1883474
164,21.023075,1065,2024-02-13 19:28:55,52.179325
107,21.04608,1066,2024-02-13 19:28:54,52.216164
209,20.9951717,1067,2024-02-13 10:47:57,52.1881894
239,21.0279987,1068,2024-02-13 19:28:54,52.1612684
107,20.9999252,1069,2024-02-13 19:28:55,52.2455296
107,20.98028,1070,2024-02-13 19:28:50,52.242889
192,21.038208,1071,2024-02-13 19:28:52,52.143662
192,21.0745337,1072,2024-02-13 19:28:50,52.1340434
107,21.059267,1073,2024-02-13 19:28:53,52.192921
208,20.9951117,1074,2024-02-13 11:09:26,52.1883895
263,21.033749,1075,2024-02-13 19:28:54,52.148594
108,21.0471137,1076,2024-02-13 19:28:55,52.2120714
200,20.9962171,1077,2024-02-13 10:29:49,52.1870414
107,21.031939,1078,2024-02-13 19:28:54,52.223797
192,20.995636,1079,2024-02-13 19:13:54,52.188484
106,21.0460728,1101,2024-02-13 17:18:53,52.2649525
338,21.045216,1102,2024-02-13 18:24:31,52.264556
170,21.0446093,1106,2024-02-13 18:35:24,52.2648708
338,21.04494,1109,2024-02-13 18:42:13,52.264726
338,21.0446775,1110,2024-02-13 18:27:50,52.2646855
178,20.937341,1112,2024-02-13 19:28:46,52.201839
106,21.0445693,1115,2024-02-13 19:06:40,52.2645686
181,21.046565,1117,2024-02-13 17:03:32,52.264018
169,21.0517783,1118,2024-02-13 19:28:49,52.2528621
240,21.066528,1119,2024-02-13 19:28:35,52.321455
L27,21.1805416,11201,2024-02-13 18:57:11,52.4218813
L27,21.1804859,11202,2024-02-13 19:28:23,52.421812
139,21.113413,1200,2024-02-13 19:28:54,52.106323
166,21.047487,1201,2024-02-13 19:28:53,52.246925
251,21.123139,1202,2024-02-13 19:25:21,52.089416
218,21.023415,1203,2024-02-13 19:28:54,52.179966
106,20.976452,1204,2024-02-13 19:28:55,52.232319
106,21.010355,1205,2024-02-13 19:28:55,52.239388
168,21.056519,1206,2024-02-13 19:28:50,52.207966
263,21.0410327,1208,2024-02-13 19:28:53,52.1470661
263,21.0807705,1209,2024-02-13 19:28:52,52.1581337
263,21.066957,1211,2024-02-13 19:28:51,52.183983
166,21.058039,1212,2024-02-13 19:28:54,52.139305
739,20.9955579,1213,2024-02-13 19:28:32,52.1884704
166,20.9979141,1214,2024-02-13 19:04:03,52.1863109
106,21.019398,1216,2024-02-13 19:28:51,52.246376
106,21.024975,1217,2024-02-13 19:28:51,52.23703
168,21.112661,1218,2024-02-13 19:28:53,52.23634
739,21.051395,1219,2024-02-13 19:28:51,52.09322
106,20.965061,1220,2024-02-13 19:28:54,52.2476854
118,21.030966,1221,2024-02-13 19:28:51,52.236408
319,20.9979386,1222,2024-02-13 13:30:54,52.1863912
263,21.049006,1223,2024-02-13 19:28:52,52.17831
218,21.003954,1224,2024-02-13 19:28:55,52.177963
117,21.1023666,1400,2024-02-13 19:28:52,52.2221561
197,20.9301161,1401,2024-02-13 19:28:50,52.2561405
147,21.120863,1411,2024-02-13 19:28:53,52.199947
115,21.166492,1412,2024-02-13 19:28:52,52.253353
119,21.0204169,1413,2024-02-13 19:28:52,52.2110449
146,21.117068,1414,2024-02-13 16:11:26,52.232981
702,21.1150061,1415,2024-02-13 07:15:08,52.234655
153,21.1582791,1416,2024-02-13 19:28:50,52.2621422
119,21.0205019,1417,2024-02-13 19:28:51,52.2107739
117,21.012846,1418,2024-02-13 19:28:53,52.230221
319,21.115016,1419,2024-02-13 15:36:06,52.234498
730,21.113884,1420,2024-02-13 19:28:52,52.234808
117,21.011908,1421,2024-02-13 19:28:55,52.229538
119,21.140528,1422,2024-02-13 19:28:52,52.214268
153,21.177076,1424,2024-02-13 19:28:52,52.25687
183,21.087015,1425,2024-02-13 19:28:55,52.244759
153,21.177244,1426,2024-02-13 19:28:55,52.256886
319,21.1169987,1427,2024-02-13 19:22:03,52.2330344
146,21.05254,1428,2024-02-13 19:28:54,52.250412
142,21.1170639,1429,2024-02-13 19:28:55,52.2330544
183,21.086496,1430,2024-02-13 19:28:54,52.244923
303,21.0455475,1500,2024-02-13 17:43:38,52.2644845
240,21.0851248,1501,2024-02-13 19:28:52,52.3218786
303,21.045461,1502,2024-02-13 18:09:43,52.2643183
170,21.0460796,1505,2024-02-13 16:27:11,52.2645338
118,21.0369681,1506,2024-02-13 19:28:53,52.2321483
118,21.0449071,1508,2024-02-13 19:13:51,52.2646406
166,21.032051,1509,2024-02-13 19:28:43,52.205271
166,21.0261228,1513,2024-02-13 19:28:44,52.2158868
173,21.0659333,1519,2024-02-13 19:28:50,52.2520661
168,21.072701,1520,2024-02-13 19:28:41,52.203358
146,21.0669517,1521,2024-02-13 19:28:43,52.2217383
319,21.174645,1522,2024-02-13 19:28:46,52.1980783
147,21.039181,1523,2024-02-13 19:28:35,52.243743
146,21.177575,1524,2024-02-13 19:28:52,52.157138
146,21.1907633,1525,2024-02-13 19:28:54,52.157035
168,21.117294,1526,2024-02-13 18:52:49,52.233056
730,21.147796,1527,2024-02-13 19:28:39,52.226338
115,21.1569383,1528,2024-02-13 19:28:40,52.257485
319,21.117021,1529,2024-02-13 19:28:54,52.23301
183,21.116058,1530,2024-02-13 15:42:25,52.234315
218,21.024501,1532,2024-02-13 19:28:41,52.186109
218,21.0242767,1533,2024-02-13 19:28:40,52.1797667
739,20.995468,1534,2024-02-13 17:08:46,52.188096
218,21.020531,1535,2024-02-13 19:28:38,52.193411
123,21.0465183,1536,2024-02-13 19:28:52,52.2644683
166,21.066293,1537,2024-02-13 19:28:45,52.130983
122,20.9678783,1538,2024-02-13 19:28:55,52.261615
126,20.9766,1539,2024-02-13 19:28:48,52.31534
123,21.090215,1540,2024-02-13 19:28:36,52.222151
166,21.034635,1541,2024-02-13 19:28:48,52.25847
122,20.976774,1542,2024-02-13 19:28:37,52.287526
736,20.9349717,1543,2024-02-13 19:28:48,52.39791
