Street,Accidents,Latitude,Longitude
SOLIDARNOŚCI - ŻELAZNA,8,52.23988409138136,20.98697543822783
FORST - WOLSKA _ HUBALCZYKÓW,5,52.22343642920172,20.930242586099087
RONDO DASZYŃSKIEGO, 4,52.23013262801156,20.98483440513624
RONDO ONZ, 4,52.23316890517175,20.997964321598715
RONDO SCHUMANA,4,52.19549284243428,21.0021927934883
AL SOLIDARNOSCI - OKOPOWA,4,52.23723242346173,20.980423857264427
ANDERSE - ANIELEWICZA - ŚWIĘTOJERSKA,4,52.24926783513176,20.99864782482651
DOLINA SŁUŻEWIECKA - NOWOURSYNOWSKA,4,52.17050111326287,21.040561182401326
CZERNIAKOWSKA – GAGARINA,2,52.20727704331102,21.04830266890919
BORA-KOMOROWSKIEGO – FIELDORFA,2,52.225027285902364,21.092761774452903
MARSZAŁKOWSKA – HOŻA,2,52.22618900354123,21.01379089774544
MODLIŃSKA – SPRAWNA,2,52.343803616994634,20.951364184257184
WITOSA – IDZIKOWSKIEGO,2,52.19223184918782,21.047468282402477
AL. JANA PAWŁA II – GRZYBOWSKA,3,52.235938140551184,20.996979495898316
ŻYTNIA – OKOPOWA,3,52.23986944198461,20.97954823027677
PUŁAWSKA – MALCZEWSKIEGO,2,52.194682572094266,21.023997738225564
AL. NIEPODLEGŁOŚCI – WORONICZA,2,52.18915912686105,21.01710788609753
AL.STANÓW ZJEDNOCZONYCH – MIĘDZYNARODOWA,2,52.2302037322459,21.06881666521497
WYBRZEŻE GDAŃSKIE – SANGUSZKI,2,52.25607596967691,21.010467984252998
AL. KRAKOWSKA – BAKALARSKA,2,52.193054888072545,20.960725765213326
GROCHOWSKA – PL. SZEMBEKA,2,52.24246086875492,21.102061092203254
AL.ARMII KRAJOWEJ – BRONIEWSKIEGO,2,52.26765762637923,20.95915600632441
UL. PUŁAWSKA - POLECZKI -PILECKIEGO,6,52.152962585779015,21.0176183437666
