Line,Minutes_Late
L18,0.0
L18,0.0
L18,2.0
L18,1.0
L18,0.0
L18,11.0
L18,0.0
L18,1.0
L18,4.0
L18,0.0
739,1.0
739,0.0
739,2.0
739,3.0
739,3.0
739,3.0
739,3.0
Z26,3.0
Z26,1.0
Z26,6.0
Z26,0.0
Z26,12.0
Z26,2.0
Z26,1.0
Z26,1.0
Z26,2.0
Z26,2.0
Z26,2.0
Z26,7.0
Z26,9.0
Z26,11.0
Z26,15.0
Z26,17.0
Z26,19.0
Z26,0.0
116,1.0
116,1.0
116,4.0
116,6.0
116,1.0
116,0.0
116,2.0
116,0.0
116,1.0
116,1.0
116,2.0
116,1.0
116,0.0
116,0.0
116,0.0
116,0.0
116,5.0
201,1.0
201,1.0
201,2.0
201,0.0
201,0.0
201,3.0
201,6.0
201,14.0
201,16.0
201,0.0
201,0.0
201,7.0
201,17.0
201,0.0
717,2.0
717,2.0
717,4.0
717,4.0
717,7.0
717,14.0
717,17.0
717,1.0
717,1.0
717,17.0
717,1.0
717,2.0
717,2.0
717,3.0
719,17.0
719,19.0
719,22.0
719,0.0
719,0.0
719,2.0
719,5.0
719,3.0
719,5.0
719,7.0
719,10.0
719,12.0
719,14.0
719,29.0
185,5.0
185,0.0
185,0.0
185,6.0
185,0.0
185,1.0
185,0.0
185,5.0
185,14.0
185,0.0
185,13.0
185,0.0
112,21.0
112,2.0
112,5.0
112,3.0
112,1.0
112,0.0
112,2.0
112,3.0
112,3.0
112,2.0
112,5.0
112,4.0
112,4.0
112,6.0
158,3.0
158,3.0
158,2.0
158,1.0
158,1.0
158,1.0
158,2.0
158,2.0
158,3.0
158,4.0
116,3.0
116,6.0
116,5.0
116,1.0
116,0.0
116,4.0
116,2.0
116,4.0
116,2.0
116,2.0
116,2.0
116,2.0
116,1.0
116,1.0
116,0.0
116,1.0
116,0.0
116,2.0
116,4.0
135,1.0
135,2.0
135,1.0
135,1.0
135,1.0
135,1.0
135,2.0
135,2.0
135,2.0
135,13.0
135,16.0
135,19.0
135,0.0
135,0.0
135,18.0
135,8.0
135,10.0
135,13.0
135,19.0
135,7.0
135,0.0
135,0.0
135,2.0
135,0.0
135,0.0
517,9.0
517,3.0
517,5.0
517,7.0
517,9.0
517,11.0
517,0.0
517,0.0
517,3.0
517,1.0
517,2.0
517,2.0
517,2.0
517,2.0
517,2.0
517,2.0
517,3.0
517,3.0
517,2.0
517,5.0
517,9.0
517,0.0
517,2.0
517,4.0
517,0.0
517,0.0
517,1.0
251,26.0
251,39.0
251,39.0
251,16.0
251,20.0
251,33.0
251,4.0
251,0.0
251,0.0
251,0.0
251,0.0
139,16.0
139,19.0
139,22.0
139,32.0
125,0.0
125,1.0
125,1.0
125,375.0
175,1.0
175,0.0
128,0.0
128,0.0
128,0.0
128,1.0
128,1.0
128,2.0
128,1.0
128,1.0
128,0.0
128,0.0
117,0.0
117,8.0
117,10.0
117,0.0
117,0.0
157,0.0
157,5.0
157,7.0
157,0.0
157,14.0
157,6.0
157,14.0
157,0.0
157,0.0
157,8.0
111,1.0
111,1.0
111,1.0
111,1.0
111,0.0
111,1.0
111,10.0
111,12.0
111,1.0
111,0.0
111,11.0
111,4.0
111,8.0
176,0.0
176,8.0
176,0.0
176,0.0
176,0.0
176,0.0
176,0.0
176,1.0
176,27.0
176,0.0
176,19.0
176,21.0
176,23.0
176,0.0
138,0.0
138,5.0
138,9.0
138,17.0
138,9.0
138,12.0
138,14.0
138,11.0
138,2.0
125,362.0
179,2.0
179,4.0
179,2.0
179,4.0
179,3.0
179,4.0
179,0.0
179,2.0
179,0.0
179,1.0
179,1.0
179,0.0
179,4.0
179,8.0
179,1.0
179,3.0
179,6.0
179,0.0
179,4.0
179,0.0
179,3.0
179,3.0
179,5.0
179,8.0
179,4.0
179,2.0
179,5.0
179,10.0
179,12.0
184,0.0
184,0.0
184,1.0
184,0.0
184,6.0
184,11.0
184,5.0
184,10.0
184,0.0
184,3.0
184,4.0
184,3.0
184,5.0
184,7.0
184,9.0
184,11.0
184,13.0
184,9.0
184,0.0
184,14.0
184,0.0
184,8.0
184,11.0
184,10.0
184,12.0
184,10.0
121,1.0
121,9.0
121,1.0
121,5.0
121,9.0
121,0.0
121,0.0
121,2.0
121,4.0
121,6.0
121,9.0
121,11.0
121,13.0
121,15.0
121,17.0
121,19.0
121,21.0
121,23.0
121,25.0
121,1.0
121,0.0
121,2.0
414,12.0
414,0.0
414,0.0
414,8.0
414,11.0
414,12.0
414,0.0
414,0.0
414,0.0
414,4.0
414,0.0
414,0.0
414,14.0
414,13.0
166,6.0
166,8.0
166,3.0
166,10.0
166,16.0
166,0.0
166,19.0
166,0.0
166,2.0
166,0.0
136,4.0
136,5.0
136,4.0
136,2.0
136,4.0
136,10.0
136,2.0
136,5.0
136,7.0
136,9.0
136,11.0
136,1.0
136,1.0
136,1.0
136,1.0
136,1.0
136,1.0
136,1.0
128,1.0
128,0.0
128,1.0
128,0.0
128,3.0
128,4.0
175,6.0
175,0.0
175,0.0
175,2.0
175,1.0
175,1.0
175,5.0
509,0.0
509,1.0
509,8.0
509,9.0
509,3.0
509,7.0
509,1.0
509,2.0
509,2.0
509,0.0
509,2.0
317,1.0
317,0.0
317,1.0
317,3.0
317,3.0
317,10.0
317,9.0
317,12.0
317,6.0
317,8.0
739,11.0
739,13.0
739,15.0
739,17.0
739,19.0
739,0.0
739,6.0
739,9.0
739,11.0
739,13.0
739,18.0
739,1.0
739,0.0
739,0.0
739,18.0
739,1.0
739,3.0
739,0.0
739,0.0
176,0.0
176,0.0
176,0.0
176,0.0
176,0.0
176,0.0
176,1.0
176,0.0
176,0.0
176,0.0
176,0.0
176,2.0
167,2.0
167,1.0
167,1.0
167,3.0
167,3.0
504,839.0
184,0.0
184,0.0
184,0.0
184,2.0
184,1.0
184,2.0
184,1.0
184,0.0
184,2.0
184,2.0
184,2.0
184,1.0
184,2.0
184,1.0
184,2.0
184,0.0
184,3.0
184,4.0
184,4.0
204,2.0
204,2.0
204,2.0
204,3.0
204,0.0
204,4.0
204,5.0
204,7.0
204,9.0
204,12.0
204,0.0
204,0.0
204,1.0
204,1.0
204,1.0
204,18.0
204,20.0
204,22.0
204,25.0
204,0.0
204,11.0
204,29.0
204,23.0
204,0.0
204,0.0
106,0.0
106,6.0
106,11.0
106,2.0
106,1.0
106,2.0
106,0.0
106,11.0
106,3.0
106,5.0
106,7.0
106,9.0
106,12.0
106,14.0
106,1.0
106,3.0
106,5.0
106,2.0
517,2.0
517,2.0
517,3.0
517,6.0
517,11.0
517,13.0
517,0.0
517,2.0
517,5.0
517,7.0
517,4.0
517,1.0
517,1.0
517,1.0
517,3.0
517,2.0
517,2.0
517,1.0
112,4.0
112,3.0
112,3.0
112,4.0
112,3.0
112,3.0
112,6.0
112,5.0
204,5.0
204,7.0
204,9.0
204,11.0
204,0.0
204,0.0
204,2.0
204,3.0
204,18.0
204,16.0
204,0.0
204,0.0
204,1.0
204,0.0
204,2.0
204,0.0
204,0.0
204,0.0
204,5.0
204,7.0
204,9.0
204,20.0
204,25.0
204,28.0
E-2,52.0
E-2,52.0
402,1.0
402,2.0
402,5.0
402,10.0
207,1.0
207,0.0
207,4.0
211,17.0
211,20.0
211,22.0
211,24.0
211,26.0
211,1.0
211,1.0
211,11.0
211,0.0
211,0.0
211,10.0
211,13.0
161,2.0
161,2.0
161,2.0
161,2.0
161,1.0
161,0.0
161,15.0
161,17.0
161,20.0
161,23.0
161,26.0
161,29.0
161,0.0
161,1.0
161,29.0
161,29.0
161,1.0
525,2.0
525,3.0
525,3.0
525,0.0
525,2.0
525,1.0
525,3.0
525,13.0
525,0.0
525,0.0
525,7.0
525,13.0
525,0.0
525,4.0
525,8.0
175,8.0
175,0.0
175,4.0
175,4.0
175,4.0
175,0.0
175,2.0
175,1.0
175,13.0
172,2.0
172,1.0
172,2.0
172,1.0
172,0.0
172,1.0
172,1.0
172,1.0
172,0.0
172,0.0
172,8.0
172,0.0
172,0.0
172,6.0
222,0.0
222,3.0
222,1.0
222,2.0
222,2.0
222,1.0
222,12.0
222,5.0
222,11.0
222,15.0
105,3.0
105,4.0
105,2.0
105,3.0
105,3.0
105,6.0
105,2.0
105,6.0
105,1.0
105,5.0
105,3.0
105,6.0
105,8.0
142,1.0
142,25.0
142,1.0
142,0.0
142,0.0
142,1.0
142,1.0
142,1.0
142,0.0
142,11.0
142,12.0
142,15.0
142,18.0
L-5,1.0
L-5,2.0
L-5,1.0
L-5,49.0
L-5,24.0
L-5,33.0
L-5,37.0
L-5,0.0
120,0.0
120,0.0
120,0.0
120,0.0
120,0.0
120,0.0
120,1.0
120,0.0
120,11.0
120,0.0
120,0.0
120,0.0
120,14.0
120,0.0
120,19.0
735,30.0
735,34.0
735,36.0
735,38.0
735,40.0
735,46.0
735,49.0
735,51.0
735,53.0
735,55.0
735,57.0
735,59.0
735,0.0
735,1.0
735,2.0
735,1.0
735,2.0
735,1.0
735,0.0
735,0.0
735,55.0
735,3.0
735,0.0
167,1.0
167,1.0
167,1.0
167,5.0
167,3.0
167,1.0
201,14.0
201,0.0
201,1.0
201,9.0
201,12.0
201,14.0
201,1.0
201,4.0
201,6.0
201,8.0
201,10.0
201,12.0
201,14.0
201,9.0
201,3.0
201,0.0
201,13.0
201,0.0
201,5.0
201,0.0
201,13.0
201,1.0
201,4.0
110,4.0
110,2.0
110,5.0
110,7.0
110,9.0
110,1.0
110,3.0
110,1.0
110,3.0
110,5.0
110,9.0
110,0.0
110,0.0
110,2.0
110,0.0
110,0.0
110,0.0
149,0.0
149,5.0
149,0.0
149,0.0
149,0.0
149,0.0
149,0.0
149,13.0
149,1.0
149,7.0
149,9.0
149,11.0
149,0.0
149,2.0
149,1.0
149,1.0
149,13.0
149,2.0
133,0.0
133,1.0
133,2.0
133,2.0
133,0.0
133,0.0
133,0.0
133,14.0
133,16.0
133,0.0
133,9.0
133,0.0
133,0.0
133,0.0
133,1.0
133,3.0
133,5.0
133,7.0
133,9.0
133,12.0
133,14.0
133,1.0
178,3.0
178,11.0
178,0.0
178,0.0
178,0.0
178,2.0
178,1.0
178,2.0
178,0.0
178,3.0
178,1.0
178,2.0
178,2.0
178,4.0
178,5.0
178,7.0
178,4.0
727,38.0
727,1.0
