BusStopID,BusStopNr,Line,ArrivalTime
R-03,00,4,04:17:00
R-03,00,4,04:19:00
R-03,00,4,04:27:00
R-03,00,4,04:47:00
R-03,00,4,04:56:00
R-03,00,4,05:26:00
R-03,00,4,05:36:00
R-03,00,4,05:54:00
R-03,00,4,06:16:00
R-03,00,4,06:17:00
R-03,00,4,06:30:00
R-03,00,4,13:41:00
R-03,00,4,14:07:00
R-03,00,4,15:08:00
R-03,00,7,04:12:00
R-03,00,7,04:24:00
R-03,00,7,04:41:00
R-03,00,9,03:57:00
R-03,00,9,04:05:00
R-03,00,9,04:09:00
R-03,00,9,04:16:00
R-03,00,9,04:25:00
R-03,00,9,04:29:00
R-03,00,9,04:31:00
R-03,00,9,04:36:00
R-03,00,9,04:53:00
R-03,00,9,05:12:00
R-03,00,9,05:35:00
R-03,00,9,05:53:00
R-03,00,9,06:01:00
R-03,00,9,06:06:00
R-03,00,9,06:18:00
R-03,00,9,06:30:00
R-03,00,9,13:52:00
R-03,00,9,13:54:00
R-03,00,9,14:06:00
R-03,00,9,14:10:00
R-03,00,9,14:16:00
R-03,00,10,03:48:00
R-03,00,10,04:08:00
R-03,00,10,04:09:00
R-03,00,10,04:19:00
R-03,00,10,04:39:00
R-03,00,10,04:58:00
R-03,00,10,05:08:00
R-03,00,10,05:20:00
R-03,00,10,05:48:00
R-03,00,10,05:58:00
R-03,00,10,06:03:00
R-03,00,10,06:08:00
R-03,00,10,06:09:00
R-03,00,10,06:13:00
R-03,00,10,06:35:00
R-03,00,10,06:49:00
R-03,00,10,13:48:00
R-03,00,10,14:12:00
R-03,00,10,14:25:00
R-03,00,10,14:49:00
R-03,00,15,03:44:00
R-03,00,15,03:54:00
R-03,00,15,04:14:00
R-03,00,15,04:23:00
R-03,00,15,04:43:00
R-03,00,15,05:13:00
R-03,00,15,05:19:00
R-03,00,15,05:26:00
R-03,00,15,06:03:00
R-03,00,15,06:16:00
R-03,00,15,06:26:00
R-03,00,15,13:50:00
R-03,00,15,14:02:00
R-03,00,17,03:55:00
R-03,00,17,04:15:00
R-03,00,17,04:27:00
R-03,00,17,04:33:00
R-03,00,17,04:42:00
R-03,00,17,04:46:00
R-03,00,17,04:56:00
R-03,00,17,04:59:00
R-03,00,17,05:03:00
R-03,00,17,05:16:00
R-03,00,17,05:19:00
R-03,00,17,05:21:00
R-03,00,17,05:28:00
R-03,00,17,05:31:00
R-03,00,17,05:41:00
R-03,00,17,05:44:00
R-03,00,17,06:11:00
R-03,00,17,06:26:00
R-03,00,17,06:38:00
R-03,00,17,06:43:00
R-03,00,17,06:59:00
R-03,00,17,07:04:00
R-03,00,17,07:16:00
R-03,00,17,07:23:00
R-03,00,17,14:04:00
R-03,00,17,14:09:00
R-03,00,17,14:28:00
R-03,00,17,14:44:00
R-03,00,17,14:52:00
R-03,00,17,14:58:00
R-03,00,17,15:16:00
R-03,00,17,15:22:00
R-03,00,18,04:28:00
R-03,00,18,04:28:00
R-03,00,18,04:40:00
R-03,00,18,04:48:00
R-03,00,18,05:08:00
R-03,00,18,05:19:00
R-03,00,18,05:36:00
R-03,00,18,05:58:00
R-03,00,18,06:34:00
R-03,00,18,06:35:00
R-03,00,18,06:51:00
R-03,00,18,07:17:00
R-03,00,18,13:46:00
R-03,00,18,14:10:00
R-03,00,18,14:34:00
R-03,00,18,14:56:00
R-03,00,25,04:51:00
R-03,00,25,05:11:00
R-03,00,25,05:32:00
R-03,00,25,05:37:00
R-03,00,25,05:43:00
R-03,00,25,06:02:00
R-03,00,25,06:12:00
R-03,00,25,06:37:00
R-03,00,25,13:53:00
R-03,00,26,05:57:00
R-03,00,31,04:40:00
R-03,00,31,04:59:00
R-03,00,31,05:32:00
R-03,00,31,06:05:00
R-03,00,31,06:31:00
R-03,00,31,06:49:00
R-03,00,31,07:24:00
R-03,00,31,07:32:00
R-03,00,31,14:58:00
R-03,00,31,15:47:00
R-03,00,31,15:59:00
R-03,00,31,16:16:00
R-03,00,33,04:09:00
R-03,00,33,04:29:00
R-03,00,33,04:48:00
R-03,00,33,05:40:00
R-03,00,33,05:52:00
R-03,00,33,07:08:00
R-03,00,33,07:20:00
R-03,00,33,14:20:00
R-03,00,33,14:32:00
R-03,00,33,14:56:00
R-03,00,35,04:32:00
R-03,00,35,04:43:00
R-03,00,76,04:05:00
R-03,00,76,04:56:00
R-03,00,76,05:15:00
